#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
nbanfl;SportStation: NBA Showtime NBA on NBC (ver 2.1, Sep 22 1999) / NFL Blitz 2000 Gold Edition (ver 1.5, Sep 22 1999);mame;;1999;Midway Games;Sports / Basketball;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;chd;4;;;0;;1
nbagold;SportStation: NBA Showtime NBA on NBC Gold Edition (ver 3.0, Feb 18 2000) / NFL Blitz 2000 Gold Edition;mame;;2000;Midway Games;Sports / Multiplay;4P sim;0;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;chd;4;;;0;;1
sprint4;Sprint 4 (set 1);mame;;1977;Atari;Driving / Race Track;4P sim;180;dial,dial,dial,dial;good;1;raster;;;;6;;;0;;1
stonebal;Stone Ball (4 Players, v1-20 13/12/1994);mame;;1994;Art & Magic;Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
ssriders;Sunset Riders (4 Players ver EAC);mame;;1991;Konami;Platform / Shooter Scrolling;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
scfinals;Super Cup Finals (Ver 2.2O 1994/01/13, single PCB);mame;;1993;Taito Corporation Japan;Sports / Soccer;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
spdheat;Super Dead Heat (World);mame;;1985;Taito Corporation;Driving / Race Track;4P sim;0;dial,pedal,dial,pedal,dial,pedal,dial,pedal;imperfect;4;raster;;;;1;;;0;;1
shimpact;Super High Impact (rev LA1 09/30/91);mame;;1991;Midway;Sports / Football;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;0;;1
sslam;Super Slam (set 1);mame;;1993;Playmark;Sports / Tennis;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
swcourt;Super World Court (World);mame;;1992;Namco;Sports / Tennis;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
pwrgoal;Taito Power Goal (Ver 2.5O 1994/11/03);mame;;1994;Taito Corporation Japan;Sports / Soccer;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
teamht;Team Hat Trick (11/16/84);mame;;1985;Bally/Sente;Sports / Hockey;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;0;;1
tbowl;Tecmo Bowl (World, set 1);mame;;1987;Tecmo;Sports / Football;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;2;raster;;;;2;;;0;;1
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);mame;;1991;Konami;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
tmnt;Teenage Mutant Ninja Turtles (World 4 Players, version X);mame;;1989;Konami;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
theglad;The Gladiator / Shen Jian Fu Mo Lu / Shen Jian Fengyun (M68k label V101) (ARM label V107, ROM 06/06/03 SHEN JIAN V107);mame;;2003;IGS;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;pgm;PGM (Polygame Master) System BIOS;;4;;;0;;1
mainevt;The Main Event (4 Players ver. Y);mame;;1988;Konami;Sports / Wrestling;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
ninjak;The Ninja Kids (World);mame;;1990;Taito Corporation Japan;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
simpsons;The Simpsons (4 Players World, set 1);mame;;1991;Konami;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
thndzone;Thunder Zone (World, Rev 1);mame;;1991;Data East Corporation;Shooter / Walking;2P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
touchgo;Touch and Go (World);mame;;1995;Gaelco;Sports / Volleyball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;2;raster;;;;3;;;0;;1
tdfever;TouchDown Fever (US);mame;;1987;SNK;Sports / Football;4P sim;90;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),dial;good;1;raster;;;;2;;;0;;1
trog;Trog (rev LA5 3/29/91);mame;;1990;Midway;Maze / Collect;4P sim;0;joystick (4-way),joystick (4-way),joystick (4-way),joystick (4-way);good;1;raster;;;;1;;;0;;1
